Région,Ville,Nom du maire,Date de prise de fonction,URL,Téléphone,Email,Adresse Mairie
Auvergne-Rhône-Alpes,Chandolas (07230),M. Jean-François THIBON,25/05/2020,https://www.mon-maire.fr/maire-de-chandolas-07,4 75 39 31 05,mairie.chandolas@orange.fr,Mairie de Chandolas 2 place de l'Abreuvoir 07230 Chandolas
Auvergne-Rhône-Alpes,Chandon (42190),M. Michel DURANTIN,27/05/2020,https://www.mon-maire.fr/maire-de-chandon-42,4 77 60 07 16,mairie-chandon-42@wanadoo.fr,Mairie de Chandon 1088 route de la Croix-Leigne 42190 Chandon
Auvergne-Rhône-Alpes,Chanéac (07310),M. Didier ROCHETTE,25/05/2020,https://www.mon-maire.fr/maire-de-chaneac-07,4 75 30 49 54,mairie.chaneac@inforoutes-ardeche.fr,Mairie de Chanéac 15 A place du Village 07310 Chanéac
Auvergne-Rhône-Alpes,Chaneins (01990),M. Patrice FLAMAND,26/05/2020,https://www.mon-maire.fr/maire-de-chaneins-01,4 74 55 87 18,mairie@chaneins.fr,Mairie de Chaneins Place du 8-Mai-1945 01990 Chaneins
Auvergne-Rhône-Alpes,Changy (42310),Mme Patricia GOUTORBE,25/05/2020,https://www.mon-maire.fr/maire-de-changy-42,4 77 64 30 51,mairie.changy@wanadoo.fr,Mairie de Changy 19 place de la Mairie 42310 Changy
Auvergne-Rhône-Alpes,Chaniat (43100),M. André POITRASSON,03/07/2020,https://www.mon-maire.fr/maire-de-chaniat-43,4 71 74 31 13,chaniat.mairie@wanadoo.fr,Mairie de Chaniat Le Bourg 43100 Chaniat
Auvergne-Rhône-Alpes,Cistrières (43160),Mme Sylvie BARBÉ,27/05/2020,https://www.mon-maire.fr/maire-de-cistrieres-43,4 71 00 02 47,mairiecistrieres@orange.fr,Mairie de Cistrières Le Bourg 43160 Cistrières
Auvergne-Rhône-Alpes,Civens (42110),M. Christophe GUILLARME,27/05/2020,https://www.mon-maire.fr/maire-de-civens-42,4 77 26 04 45,mairie.civens@wanadoo.fr,Mairie de Civens 215 route de Rozier-en-Donzy 42110 Civens
Auvergne-Rhône-Alpes,Civrieux (01390),M. Gérard PORRETTI,23/05/2020,https://www.mon-maire.fr/maire-de-civrieux-01,4 78 98 01 61,mairie.civrieux01@wanadoo.fr,Mairie de Civrieux 7 rue du Château 01390 Civrieux
Auvergne-Rhône-Alpes,Civrieux-d'Azergues (69380),Mme Marie-Pierre TEYSSIER,23/05/2020,https://www.mon-maire.fr/maire-de-civrieux-dazergues-69,4 78 43 04 17,mairie@civrieuxdazergues.fr,Mairie de Civrieux-d'Azergues 200 rue de la Mairie 69380 Civrieux-d'Azergues
Auvergne-Rhône-Alpes,Cize (01250),M. Luc DESBOIS,26/05/2020,https://www.mon-maire.fr/maire-de-cize-01,4 74 42 90 42,cize.mairie@wanadoo.fr,Mairie de Cize 2 rue Principale 01250 Cize
Auvergne-Rhône-Alpes,Claix (38640),M. Christophe REVIL,27/05/2020,https://www.mon-maire.fr/maire-de-claix-38,4 76 98 15 36,direction.generale@ville-claix.fr,Mairie de Claix Place Hector-Berlioz 38640 Claix
Auvergne-Rhône-Alpes,Clansayes (26130),M. Maryannick GARIN,23/05/2020,https://www.mon-maire.fr/maire-de-clansayes-26,4 75 04 70 68,mairie@clansayes.fr,Mairie de Clansayes 1 place Bertrand-de-Clansayes 26130 Clansayes
Auvergne-Rhône-Alpes,Clarafond-Arcine (74270),Mme Sylvie TARAGON,18/05/2020,https://www.mon-maire.fr/maire-de-clarafond-arcine-74,4 50 77 90 82,mairie@clarafond.fr,Mairie de Clarafond-Arcine 109 rue de la Mairie 74270 Clarafond-Arcine
Auvergne-Rhône-Alpes,Clavans-en-Haut-Oisans (38142),M. Marc CROSLAND - FEGE,28/05/2020,https://www.mon-maire.fr/maire-de-clavans-en-haut-oisans-38,4 76 80 11 73,mairieclavanshtoisans@orange.fr,Mairie de Clavans-en-Haut-Oisans Clavans-le-Haut 38142 Clavans-en-Haut-Oisans
Auvergne-Rhône-Alpes,Claveisolles (69870),M. Dominique DESPRAS,25/05/2020,https://www.mon-maire.fr/maire-de-claveisolles-69,4 74 02 06 54,mairie@claveisolles.fr,Mairie de Claveisolles Rue de la Mairie 69870 Claveisolles
Auvergne-Rhône-Alpes,Désaignes (07570),M. François SOUBEYRAND,23/05/2020,https://www.mon-maire.fr/maire-de-desaignes-07,4 75 06 61 49,mairie@desaignes.fr,Mairie de Désaignes 130 place de la Mairie 07570 Désaignes
Auvergne-Rhône-Alpes,Désertines (03630),M. Christian SANVOISIN,28/05/2020,https://www.mon-maire.fr/maire-de-desertines-03,4 70 02 34 40,mairie-de-desertines@wanadoo.fr,Mairie de Désertines 11 rue Joliot-Curie 03630 Désertines
Auvergne-Rhône-Alpes,Desges (43300),M. Joseph VISSAC,27/05/2020,https://www.mon-maire.fr/maire-de-desges-43,4 71 74 00 96,mairie.desges@wanadoo.fr,Mairie de Desges Le Bourg 43300 Desges
Auvergne-Rhône-Alpes,Desingy (74270),M. André BOUCHET,18/05/2020,https://www.mon-maire.fr/maire-de-desingy-74,4 50 69 43 80,mairiedesingy@orange.fr,Mairie de Desingy 1 place Saint-Laurent 74270 Desingy
Auvergne-Rhône-Alpes,Détrier (73110),M. Alain SIBUÉ,27/05/2020,https://www.mon-maire.fr/maire-de-detrier-73,4 79 65 69 23,accueil@mairiedetrier.com,Mairie de Détrier 368 rue de la Mairie 73110 Détrier
Auvergne-Rhône-Alpes,Deux-Chaises (03240),M. Maurice CHOPIN,28/05/2020,https://www.mon-maire.fr/maire-de-deux-chaises-03,4 70 47 12 74,mairie-deuxchaises@wanadoo.fr,Mairie de Deux-Chaises 27 rue de la Mairie 03240 Deux-Chaises
Auvergne-Rhône-Alpes,Deux-Grosnes (69860),M. René THEVENON,04/06/2020,https://www.mon-maire.fr/maire-de-deux-grosnes-69,4 74 04 72 19,mairie@saintchristophe69.fr,Mairie de Deux-Grosnes Saint-Christophe Le Bourg 69860 Deux-Grosnes
Auvergne-Rhône-Alpes,Deux-Verges (15110),M. Pascal POUDEVIGNE,23/05/2020,https://www.mon-maire.fr/maire-de-deux-verges-15,4 71 23 52 70,mairie.deux-verges@wanadoo.fr,Mairie de Deux-Verges Le Bourg 15110 Deux-Verges
Auvergne-Rhône-Alpes,Devesset (07320),M. Etienne ROCHE,26/05/2020,https://www.mon-maire.fr/maire-de-devesset-07,4 75 30 00 99,mairie.devesset@inforoutes.fr,Mairie de Devesset Le Village 07320 Devesset
Auvergne-Rhône-Alpes,Die (26150),Mme Isabelle BIZOUARD,03/07/2020,https://www.mon-maire.fr/maire-de-die-26,4 75 21 08 77,administration@mairie-die.fr,Mairie de Die Rue Félix-Germain 26150 Die
Auvergne-Rhône-Alpes,Francheleins (01090),M. Jean-Michel LUX,25/05/2020,https://www.mon-maire.fr/maire-de-francheleins-01,4 74 69 31 74,mairie.francheleins@k-net.fr,Mairie de Francheleins 611 Grande rue 01090 Francheleins
Auvergne-Rhône-Alpes,Franchesse (03160),M. Gérard VERNIS,28/05/2020,https://www.mon-maire.fr/maire-de-franchesse-03,4 70 66 26 26,mairie-franchesse@wanadoo.fr,Mairie de Franchesse 11 place Marguerite-Chanier 03160 Franchesse
Auvergne-Rhône-Alpes,Francheville (69340),M. Michel RANTONNET,03/07/2020,https://www.mon-maire.fr/maire-de-francheville-69,4 78 59 02 66,contact@mairie-francheville69.fr,Mairie de Francheville 1 rue du Robert 69340 Francheville
Auvergne-Rhône-Alpes,Francillon-sur-Roubion (26400),M. Jean-Michel GAUDET,25/05/2020,https://www.mon-maire.fr/maire-de-francillon-sur-roubion-26,4 75 76 02 75,mairie.francillon26@wanadoo.fr,Mairie de Francillon-sur-Roubion 3 rue de la Mairie 26400 Francillon-sur-Roubion
Auvergne-Rhône-Alpes,Franclens (74910),M. Jean-Louis MAGNIN,18/05/2020,https://www.mon-maire.fr/maire-de-franclens-74,4 50 77 90 63,accueil@franclens.fr,Mairie de Franclens Chemin des Écoliers 74910 Franclens
Auvergne-Rhône-Alpes,Frangy (74270),M. Bernard REVILLON,18/05/2020,https://www.mon-maire.fr/maire-de-frangy-74,4 50 44 75 96,mairie@frangy.fr,Mairie de Frangy 19 rue du Grand-Pont BP 2 74270 Frangy
Auvergne-Rhône-Alpes,Frans (01480),Mme Michelle NUGUET,23/05/2020,https://www.mon-maire.fr/maire-de-frans-01,4 74 60 95 81,mairiedefrans@frans.fr,Mairie de Frans 104 rue des Gagères BP 54 01480 Frans
Auvergne-Rhône-Alpes,Freix-Anglards (15310),M. Patrice FALIES,23/05/2020,https://www.mon-maire.fr/maire-de-freix-anglards-15,4 71 46 66 53,freixanglards.mairie@wanadoo.fr,"Mairie de Freix-Anglards 8, rue des forges Le Bourg 15310 Freix-Anglards"
Auvergne-Rhône-Alpes,Freney (73500),M. Roland AVENIERE,26/05/2020,https://www.mon-maire.fr/maire-de-freney-73,4 79 05 08 06,mairie-le-freney@wanadoo.fr,Mairie de Freney 2 place de la Mairie 73500 Freney
Auvergne-Rhône-Alpes,Fréterive (73250),Mme Eve BUEVOZ,26/05/2020,https://www.mon-maire.fr/maire-de-freterive-73,4 79 28 54 01,mairie.freterive@wanadoo.fr,Mairie de Fréterive 296 route de la Mairie 73250 Fréterive
Auvergne-Rhône-Alpes,L'Étrat (42580),M. Yves MORAND,27/05/2020,https://www.mon-maire.fr/maire-de-letrat-42,4 77 91 31 31,etrat.mairie@orange.fr,Mairie de L'Étrat 175 rue de Verdun BP 7 42580 L'Étrat
Auvergne-Rhône-Alpes,L'Hôpital-le-Grand (42210),M. Christophe DESTRAS,25/05/2020,https://www.mon-maire.fr/maire-de-lhopital-le-grand-42,4 77 76 13 70,mairie.lhopitallegrand@wanadoo.fr,Mairie de L'Hôpital-le-Grand Place du 19-Mars-1962 42210 L'Hôpital-le-Grand
Auvergne-Rhône-Alpes,L'Hôpital-sous-Rochefort (42130),M. Dominique GUILLIN,23/05/2020,https://www.mon-maire.fr/maire-de-lhopital-sous-rochefort-42,4 77 24 59 26,mairie.hopital@wanadoo.fr,Mairie de L'Hôpital-sous-Rochefort 117 rue des Remparts 42130 L'Hôpital-sous-Rochefort
Auvergne-Rhône-Alpes,L'Horme (42152),M. Julien VASSAL,25/05/2020,https://www.mon-maire.fr/maire-de-lhorme-42,4 77 22 12 09,mairie@ville-horme.fr,Mairie de L'Horme Cours Marin BP 10 42152 L'Horme
Auvergne-Rhône-Alpes,L'Isle-d'Abeau (38080),M. Cyril MARION,03/07/2020,https://www.mon-maire.fr/maire-de-lisle-dabeau-38,4 74 18 20 00,contact@mairie-ida.com,Mairie de L'Isle-d'Abeau 12 rue de l'Hôtel-de-Ville CS 45006 38080 L'Isle-d'Abeau
Auvergne-Rhône-Alpes,La Balme (73170),Mme Martine GOJON,24/05/2020,https://www.mon-maire.fr/maire-de-la-balme-73,4 79 36 87 50,labalme.mairie@wanadoo.fr,Mairie de La Balme 40 rue de la Mairie 73170 La Balme
Auvergne-Rhône-Alpes,La Balme-de-Sillingy (74330),Mme Séverine MUGNIER,18/05/2020,https://www.mon-maire.fr/maire-de-la-balme-de-sillingy-74,4 50 68 89 02,mairie@labalmedesillingy.fr,Mairie de La Balme-de-Sillingy 13 route de Choisy BP 44 74330 La Balme-de-Sillingy
Auvergne-Rhône-Alpes,La Balme-de-Thuy (74230),M. Pierre BARRUCAND,18/05/2020,https://www.mon-maire.fr/maire-de-la-balme-de-thuy-74,4 50 02 16 89,mairie@labalmedethuy.fr,Mairie de La Balme-de-Thuy 14 place de la Mairie 74230 La Balme-de-Thuy
Auvergne-Rhône-Alpes,La Balme-les-Grottes (38390),M. Jean-Pierre BERTHELOT,25/05/2020,https://www.mon-maire.fr/maire-de-la-balme-les-grottes-38,4 74 90 60 49,mairie.labalmelesgrottes@wanadoo.fr,Mairie de La Balme-les-Grottes Route de Lagnieu 38390 La Balme-les-Grottes
Auvergne-Rhône-Alpes,La Bâthie (73540),Mme Monique ROSSET-LANCHET NÉE MERCIER,28/05/2020,https://www.mon-maire.fr/maire-de-la-bathie-73,4 79 31 00 43,mairie@labathie.fr,Mairie de La Bâthie 103 rue Alphonse-de-Lamartine 73540 La Bâthie
Auvergne-Rhône-Alpes,Lamothe (43100),M. Alain JARLIER,26/05/2020,https://www.mon-maire.fr/maire-de-lamothe-43,4 71 76 44 40,mairie.lamothe@wanadoo.fr,Mairie de Lamothe 12 rue de Vialle 43100 Lamothe
Auvergne-Rhône-Alpes,Lamure-sur-Azergues (69870),M. Marc DESPLACES,09/06/2020,https://www.mon-maire.fr/maire-de-lamure-sur-azergues-69,4 74 03 02 71,mairie@lamuresurazergues.com,Mairie de Lamure-sur-Azergues Place de la Mairie 69870 Lamure-sur-Azergues
Auvergne-Rhône-Alpes,Lanarce (07660),M. Bernard JACQUEMIN,25/05/2020,https://www.mon-maire.fr/maire-de-lanarce-07,4 66 69 47 87,mairie.lanarce@orange.fr,Mairie de Lanarce Le Village 07660 Lanarce
Auvergne-Rhône-Alpes,Lanas (07200),Mme Marie-Christine DURAND,25/05/2020,https://www.mon-maire.fr/maire-de-lanas-07,4 75 37 72 02,communedelanas@wanadoo.fr,Mairie de Lanas 100 rue de la Mairie 07200 Lanas
Auvergne-Rhône-Alpes,Lancié (69220),M. Jacky MENICHON,25/05/2020,https://www.mon-maire.fr/maire-de-lancie-69,4 74 69 81 56,mairiedelancie@wanadoo.fr,Mairie de Lancié 115 rue Grolée 69220 Lancié
Auvergne-Rhône-Alpes,Landeyrat (15160),M. Jean-Louis VERDIER,24/05/2020,https://www.mon-maire.fr/maire-de-landeyrat-15,4 71 20 48 64,landeyrat.mairie@wanadoo.fr,Mairie de Landeyrat Le Bourg 15160 Landeyrat
Auvergne-Rhône-Alpes,Landogne (63380),Mme Claude COLLANGE,23/05/2020,https://www.mon-maire.fr/maire-de-landogne-63,4 73 79 82 60,mairie.landogne@orange.fr,Mairie de Landogne Le Bourg 63380 Landogne
Auvergne-Rhône-Alpes,Landos (43340),M. Jean-Louis REYNAUD,27/05/2020,https://www.mon-maire.fr/maire-de-landos-43,4 71 08 20 19,accueil.landos@orange.fr,Mairie de Landos 1 route du Haut-Allier 43340 Landos
Auvergne-Rhône-Alpes,Landry (73210),M. Thierry MARCHAND-MAILLET,25/05/2020,https://www.mon-maire.fr/maire-de-landry-73,4 79 07 08 71,mairie@ville-landry.com,Mairie de Landry Le Bathieul 73210 Landry
Auvergne-Rhône-Alpes,Langeac (43300),M. Gérard BEAUD,03/07/2020,https://www.mon-maire.fr/maire-de-langeac-43,4 71 77 71 10,secretariat.general@ville-langeac.com,Mairie de Langeac Place de la Favière BP 30 43300 Langeac
Auvergne-Rhône-Alpes,Les Houches (74310),Mme Ghislaine BOSSONNEY,28/06/2020,https://www.mon-maire.fr/maire-de-les-houches-74,4 50 54 40 04,mairie@leshouches.fr,Mairie de Les Houches 1 place de la Mairie BP 1 74310 Les Houches
Auvergne-Rhône-Alpes,Les Martres-d'Artière (63430),M. Vincent RAYMOND,28/05/2020,https://www.mon-maire.fr/maire-de-les-martres-dartiere-63,4 73 83 24 60,mairie-les-martres-dartiere@wanadoo.fr,Mairie de Les Martres-d'Artière Place de l'Église 63430 Les Martres-d'Artière
Auvergne-Rhône-Alpes,Les Martres-de-Veyre (63730),M. Pascal PIGOT,28/05/2020,https://www.mon-maire.fr/maire-de-les-martres-de-veyre-63,4 73 39 90 75,contact@lesmartresdeveyre.fr,Mairie de Les Martres-de-Veyre Place Alphonse-Quinsat 63730 Les Martres-de-Veyre
Auvergne-Rhône-Alpes,Les Mollettes (73800),M. Jean-Claude NICOLLE,03/07/2020,https://www.mon-maire.fr/maire-de-les-mollettes-73,4 79 28 92 92,mairie.lesmollettes@wanadoo.fr,Mairie de Les Mollettes Les Granges 73800 Les Mollettes
Auvergne-Rhône-Alpes,Les Neyrolles (01130),M. Lucien JUILLARD,27/05/2020,https://www.mon-maire.fr/maire-de-les-neyrolles-01,4 74 75 02 78,mairielesneyrolles@wanadoo.fr,Mairie de Les Neyrolles 3 rue de la Dévy 01130 Les Neyrolles
Auvergne-Rhône-Alpes,Les Noës (42370),M. Stéphane RAPHAEL,27/05/2020,https://www.mon-maire.fr/maire-de-les-noes-42,4 77 64 43 24,mairie-des-noes@wanadoo.fr,Mairie de Les Noës 29 route de l'Avoine 42370 Les Noës
Auvergne-Rhône-Alpes,Les Ollières-sur-Eyrieux (07360),Mme Hélène BAPTISTE,25/05/2020,https://www.mon-maire.fr/maire-de-les-ollieres-sur-eyrieux-07,4 75 66 20 45,ma.ollie@wanadoo.fr,Mairie de Les Ollières-sur-Eyrieux 1 place du Temple 07360 Les Ollières-sur-Eyrieux
Auvergne-Rhône-Alpes,Les Pilles (26110),M. Philippe LEDESERT,23/05/2020,https://www.mon-maire.fr/maire-de-les-pilles-26,4 75 27 71 80,mairie.lespilles@orange.fr,Mairie de Les Pilles 15 rue du Portail 26110 Les Pilles
Auvergne-Rhône-Alpes,Les Pradeaux (63500),Mme Marie-Pierre SAUX,04/07/2020,https://www.mon-maire.fr/maire-de-les-pradeaux-63,4 73 71 00 44,lespradeaux@wanadoo.fr,Mairie de Les Pradeaux 4 place de la Fontaine 63500 Les Pradeaux
Auvergne-Rhône-Alpes,Les Prés (26310),M. Gérard DE GIORGIO,25/05/2020,https://www.mon-maire.fr/maire-de-les-pres-26,,mairie.les.pres@orange.fr,Mairie de Les Prés Le Village 26310 Les Prés
Bourgogne Franche Comté,Abbans-Dessous (25320),Mme Chantal VIPREY,01/06/2020,https://www.mon-maire.fr/maire-de-abbans-dessous-25,3 81 63 75 72,mairie.abbansdessous@orange.fr,Mairie de Abbans-Dessous 22 rue Jouffroy-d'Abbans 25320 Abbans-Dessous
Bourgogne Franche Comté,Abbans-Dessus (25440),Mme Florence PAUL,23/05/2020,https://www.mon-maire.fr/maire-de-abbans-dessus-25,3 81 63 69 76,mairie.abbansdessus@wanadoo.fr,Mairie de Abbans-Dessus 25 rue Jouffroy-d'Abbans 25440 Abbans-Dessus
Bourgogne Franche Comté,Abbenans (25340),M. Victorio ZUAN,03/07/2020,https://www.mon-maire.fr/maire-de-abbenans-25,3 81 86 91 18,mairie.abbenans489@orange.fr,Mairie de Abbenans 16 rue de la Paix 25340 Abbenans
Bourgogne Franche Comté,Abbévillers (25310),M. Joël VERNIER,26/05/2020,https://www.mon-maire.fr/maire-de-abbevillers-25,3 81 35 72 16,mairie-abbevillers@wanadoo.fr,Mairie de Abbévillers 35 Grande rue 25310 Abbévillers
Bourgogne Franche Comté,Abelcourt (70300),M. Bernard JAMEY,23/05/2020,https://www.mon-maire.fr/maire-de-abelcourt-70,3 84 94 52 12,mairie@abelcourt.fr,Mairie de Abelcourt 17 Grande rue 70300 Abelcourt
